Location,Sector,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Annual
Weymouth,Commercial & Industrial,2017,"1,055,485","915,420","996,519","585,733","424,109","317,168","282,113","305,590","301,881","375,738","742,213","1,242,960","7,544,928"
Scituate,Residential,2015,"1,056,581","1,070,545","775,692","20,592","185,573","130,745","106,225","95,919","108,487","263,500","389,461","519,818","4,723,139"
Ashland,Total,2017,"1,057,044","842,570","906,537","506,706","280,996","186,286","142,964","154,412","159,571","265,457","647,149","1,222,738","6,372,433"
Newburyport,Residential,2018,"1,057,542","701,838","769,625","488,307","173,221","125,737","93,307","96,114","119,167","339,044","660,875","813,675","5,438,453"
Newburyport,Residential,2014,"1,057,693","773,685","957,266","400,250","201,095","124,551","98,197","109,130","125,250","241,051","559,267","760,213","5,407,649"
Canton,Residential,2019,"1,058,872","926,524","779,729","419,112","258,096","139,481","105,358","105,283","125,815","279,059","673,967","867,519","5,738,815"
Swansea,Total,2019,"1,059,326","908,254","843,887","459,546","272,604","149,417","109,532","106,282","109,848","248,014","587,569","799,770","5,654,050"
Woburn,Residential,2014,"1,059,428","930,352","857,241","468,685","249,232","144,431","123,876","120,126","146,100","304,739","593,215","959,825","5,957,249"
Dartmouth,Commercial & Industrial,2018,"1,061,254","822,495","882,747","703,072","348,422","326,858","332,228","339,085","354,455","484,287","716,768","953,449","7,325,120"
Hopkinton,Total,2015,"1,062,200","1,036,975","1,046,604","530,323","255,484","174,084","155,773","151,319","180,707","321,814","480,472","718,231","6,113,985"
Sandwich,Total,2019,"1,062,351","968,842","840,633","500,376","314,463","192,329","163,222","156,462","180,183","324,334","636,190","872,548","6,211,933"
Attleboro,Residential,2014,"1,062,666","967,054","852,811","503,370","237,175","130,549","108,758","106,133","129,557","267,922","553,315","873,526","5,792,836"
Attleboro,Commercial & Industrial,2015,"1,063,015","1,034,732","923,859","535,425","306,623","204,561","187,040","189,132","195,403","285,410","433,072","851,249","6,209,521"
Stoughton,Residential,2019,"1,063,440","971,070","813,262","450,263","262,087","146,826","109,330","106,540","133,718","324,740","662,616","896,349","5,940,242"
Reading,Total,2019,"1,063,983","966,956","805,818","443,090","281,030","166,042","130,973","128,597","149,755","290,569","718,553","900,292","6,045,657"
Wayland,Total,2015,"1,064,527","955,064","834,506","457,514","204,181","129,845","106,176","101,374","131,506","270,858","457,109","637,652","5,350,312"
North Adams,Total,2017,"1,065,022","801,964","942,549","469,695","275,109","149,332","120,212","126,695","147,526","277,103","225,397","763,452","5,364,057"
North Andover,Commercial & Industrial,2018,"1,065,812","730,834","745,359","505,790","178,282","127,843","159,231","152,508","177,299","424,967","659,455","834,358","5,761,738"
Canton,Residential,2018,"1,066,060","727,496","803,039","500,409","230,503","132,049","107,742","102,122","121,980","343,978","693,337","895,075","5,723,789"
Longmeadow,Residential,2019,"1,067,284","960,889","819,377","431,212","235,519","121,110","100,211","102,207","144,162","341,794","686,377","918,281","5,928,421"
Grafton,Commercial & Industrial,2018,"1,067,971","851,192","837,137","820,841","573,519","495,002","439,560","536,597","560,406","739,760","852,644","863,607","8,638,236"
Dracut,Residential,2013,"1,068,117","1,041,366","835,590","498,187","254,149","182,734","144,220","146,907","171,373","382,886","790,803","1,140,425","6,656,756"
Stoughton,Residential,2014,"1,069,063","951,546","865,458","483,422","236,272","131,860","113,205","109,482","133,213","299,045","584,024","889,541","5,866,131"
Dartmouth,Commercial & Industrial,2014,"1,069,196","960,689","896,908","514,253","267,721","312,169","346,245","291,672","305,781","344,826","546,021","703,076","6,558,557"
Fairhaven,Total,2014,"1,069,462","1,005,019","927,380","511,957","277,385","171,908","154,907","153,442","161,606","287,020","599,906","848,190","6,168,181"
Mashpee,Total,2013,"1,070,161","973,576","931,023","515,810","306,579","224,749","209,230","223,779","217,271","340,045","734,363","1,165,766","6,912,352"
Sudbury,Residential,2018,"1,070,318","723,528","675,648","478,595","198,636","114,619","86,917","87,356","120,301","338,804","683,561","910,118","5,488,401"
Plymouth,Residential,2017,"1,070,351","966,403","999,479","491,532","308,090","192,852","144,361","144,807","154,766","255,839","668,764","1,169,914","6,567,159"
Sharon,Residential,2015,"1,072,617","1,076,395","254,272","278,532","191,793","117,641","98,998","92,677","123,040","269,643","464,148","618,195","4,657,950"
Norton,Total,2014,"1,074,094","679,619","590,615","517,757","271,265","162,344","171,972","171,181","191,328","335,199","620,815","922,228","5,708,417"
North Andover,Residential,2013,"1,074,580","978,349","822,461","449,331","207,535","146,368","109,706","114,790","143,312","287,272","699,361","1,065,651","6,098,718"
Norwood,Commercial & Industrial,2013,"1,074,804","961,167","874,429","592,710","427,581","292,787","280,264","312,817","349,523","493,999","772,146","1,193,910","7,626,137"
Sandwich,Total,2015,"1,075,353","1,040,728","934,072","540,180","262,939","184,595","165,652","154,428","170,218","288,313","484,781","637,373","5,938,631"
Methuen,Commercial & Industrial,2018,"1,075,482","723,301","699,017","506,223","299,134","203,699","189,781","201,204","225,511","409,143","689,639","908,696","6,130,830"
Dedham,Total,2013,"1,075,959","1,323,347","1,682,151","1,395,705","749,671","456,245","307,291","284,180","263,656","340,175","662,649","2,055,579","10,596,607"
Swampscott,Total,2014,"1,076,201","929,576","917,431","454,468","260,657","150,783","126,129","130,126","147,476","270,623","581,094","794,400","5,838,965"
Mashpee,Residential,2014,"1,076,412","1,025,824","936,707","474,325","278,856","192,802","183,549","197,179","163,930","274,241","564,143","905,706","6,273,672"
Northborough,Total,2015,"1,077,312","1,092,283","868,820","510,399","262,020","213,140","189,256","216,301","204,091","340,908","460,800","774,548","6,209,878"
Hingham,Residential,2015,"1,080,119","966,272","770,239","380,669","157,675","123,938","92,212","84,182","102,064","240,799","367,138","482,072","4,847,378"
Plymouth,Residential,2016,"1,080,477","959,008","765,951","577,093","334,999","156,658","140,429","132,460","148,237","306,097","633,592","895,523","6,130,525"
Saugus,Residential,2014,"1,080,829","898,203","886,224","437,400","211,463","141,445","114,448","119,572","124,395","237,981","573,103","791,960","5,617,023"
North Andover,Residential,2016,"1,080,968","905,722","702,393","497,543","275,453","130,158","109,635","104,921","122,248","368,922","1,223,914","1,989,449","7,511,324"
Weymouth,Commercial & Industrial,2014,"1,081,298","1,000,950","936,567","562,353","385,245","268,686","270,698","263,257","256,044","423,593","661,801","925,818","7,036,309"
Attleboro,Residential,2015,"1,081,463","1,048,072","603,714","125,508","205,110","127,565","107,474","101,098","120,250","257,579","454,136","668,969","4,900,939"
Everett,Commercial & Industrial,2016,"1,083,289","873,807","984,437","571,434","387,261","324,131","397,601","371,417","477,527","710,453","902,849","1,042,169","8,126,376"
Rockland,Total,2019,"1,083,778","965,421","804,067","496,451","299,287","190,587","147,817","143,747","160,384","318,800","690,987","899,709","6,201,036"
Plymouth,Residential,2014,"1,085,896","959,581","933,888","498,795","246,254","153,056","130,929","132,680","149,706","288,436","630,266","892,118","6,101,605"
Salem,Commercial & Industrial,2014,"1,086,142","951,115","916,457","510,831","304,446","210,383","224,730","244,949","275,151","421,078","638,454","873,777","6,657,512"
Northborough,Total,2014,"1,087,444","975,557","881,807","513,050","287,097","203,669","185,023","191,728","219,253","357,351","615,829","890,213","6,408,021"
Malden,Commercial & Industrial,2016,"1,087,951","1,005,057","861,286","695,015","501,627","279,965","248,557","253,015","278,479","448,397","709,155","1,037,518","7,406,022"
Natick,Residential,2016,"1,088,031","1,106,256","826,076","536,424","282,832","151,090","124,696","118,502","146,117","357,959","681,561","1,119,342","6,538,886"
Bridgewater,Commercial & Industrial,2017,"1,088,394","761,463","768,517","549,196","538,996","212,510","246,257","265,697","255,007","286,299","567,355","848,864","6,388,554"
Duxbury,Residential,2017,"1,088,585","581,452","526,084","330,322","197,109","121,773","86,016","90,322","97,952","169,051","382,894","682,854","4,354,415"
Salem,Commercial & Industrial,2016,"1,088,910","996,557","844,547","637,829","402,069","270,386","269,774","263,022","279,504","478,328","707,590","1,052,840","7,291,359"
Sharon,Total,2013,"1,089,046","956,593","894,854","480,494","225,807","141,033","110,562","113,819","139,828","348,161","712,772","1,138,293","6,351,262"
Danvers,Commercial & Industrial,2016,"1,089,200","891,878","726,282","566,547","323,899","212,563","176,444","178,140","196,891","347,053","565,826","980,440","6,255,163"
Bridgewater,Commercial & Industrial,2016,"1,089,683","822,112","657,413","557,560","377,531","278,235","275,661","229,727","268,743","400,480","758,730","1,071,336","6,787,211"
Hopkinton,Total,2018,"1,090,146","769,776","842,408","557,480","248,707","151,304","125,401","122,439","156,392","404,287","735,389","990,049","6,193,776"
Scituate,Residential,2018,"1,090,862","732,745","822,297","496,937","195,061","129,677","97,155","93,530","119,301","326,098","608,838","838,045","5,550,547"
Westborough,Commercial & Industrial,2018,"1,091,064","780,592","791,427","536,199","254,743","178,502","179,130","140,932","180,613","376,843","706,393","945,160","6,161,599"
Swampscott,Total,2019,"1,091,943","919,439","867,349","459,819","326,491","187,067","134,336","123,976","150,926","304,457","673,594","919,535","6,158,933"
Tewksbury,Commercial & Industrial,2018,"1,092,172","649,127","719,059","512,099","233,604","167,419","147,760","149,560","158,841","340,593","534,275","904,155","5,608,663"
Salem,Commercial & Industrial,2017,"1,092,327","951,558","1,080,491","613,764","434,595","310,373","291,264","283,543","283,518","393,403","722,636","1,224,317","7,681,789"
Stoughton,Commercial & Industrial,2018,"1,092,796","666,962","711,899","482,695","246,192","148,527","126,605","143,743","155,602","380,690","734,667","891,118","5,781,495"
Braintree,Residential,2014,"1,092,818","1,028,846","883,017","488,636","262,223","141,327","113,727","113,076","136,549","290,603","586,851","982,219","6,119,892"
Stoughton,Commercial & Industrial,2017,"1,094,067","837,563","953,515","581,557","346,146","247,196","196,752","196,013","191,899","326,621","721,533","1,281,105","6,973,968"
Saugus,Residential,2019,"1,095,077","896,547","842,584","427,565","285,355","144,081","113,582","112,314","124,536","276,429","678,960","905,919","5,902,950"
Ludlow,Total,2019,"1,096,062","852,321","755,476","387,260","229,942","125,283","106,764","107,475","130,472","282,878","617,711","859,831","5,551,474"
Newburyport,Residential,2015,"1,097,045","1,072,648","844,981","406,269","160,149","137,536","104,379","95,148","110,943","289,304","400,342","559,428","5,278,173"
Malden,Commercial & Industrial,2017,"1,098,320","996,181","971,349","651,280","437,514","296,045","240,904","260,769","293,534","391,458","727,454","1,174,388","7,539,195"
North Attleboro,Total,2018,"1,098,327","725,097","687,237","579,926","222,024","145,116","136,745","125,973","125,029","294,191","555,886","739,767","5,435,319"
Marblehead,Residential,2016,"1,099,756","953,815","745,728","561,143","327,544","153,203","132,296","124,148","137,743","313,318","651,445","1,015,592","6,215,730"
Lexington,Commercial & Industrial,2014,"1,100,159","981,700","925,608","608,806","447,602","354,517","322,422","338,530","351,972","465,751","713,179","961,056","7,571,302"
Milford,Commercial & Industrial,2014,"1,100,752","915,991","903,651","528,220","472,917","255,643","259,961","263,783","276,970","386,717","533,843","657,006","6,555,456"
Woburn,Residential,2019,"1,101,672","986,475","820,295","455,633","277,650","162,439","122,760","120,271","147,556","308,500","725,743","906,493","6,135,487"
Duxbury,Total,2018,"1,101,816","701,199","721,813","466,332","220,331","148,328","117,289","105,961","140,868","305,934","576,495","822,454","5,428,822"
Agawam,Residential,2018,"1,101,889","808,395","748,399","496,247","204,590","125,103","110,241","106,143","133,314","324,299","653,041","915,900","5,727,561"
Canton,Residential,2015,"1,101,981","1,092,824","351,746","269,087","203,925","132,271","111,012","105,278","126,176","268,542","476,213","624,070","4,863,125"
Rockland,Total,2018,"1,102,384","759,981","830,657","557,401","280,311","186,329","151,509","149,683","165,107","377,194","723,156","917,154","6,200,867"
Plymouth,Commercial & Industrial,2019,"1,103,197","1,000,635","964,388","624,539","482,903","348,329","299,460","313,538","315,518","511,345","745,949","1,001,313","7,711,115"
Sudbury,Residential,2015,"1,103,404","977,592","808,428","450,267","190,374","119,185","94,274","89,509","122,561","279,025","455,185","662,337","5,352,141"
Stoughton,Residential,2015,"1,103,647","1,095,286","449,065","199,720","220,677","133,311","115,093","107,083","133,961","268,121","493,647","662,877","4,982,488"
Wilbraham,Total,2017,"1,103,702","604,853","603,165","320,897","190,252","124,516","105,179","107,104","115,024","216,819","479,504","803,806","4,774,820"
Rockland,Total,2015,"1,103,849","1,045,990","937,312","484,044","268,271","202,323","171,089","165,615","196,735","317,132","535,591","625,008","6,052,959"
Lexington,Residential,2017,"1,105,326","1,037,882","913,728","580,049","320,717","182,321","122,452","124,683","151,497","295,686","723,634","1,192,610","6,750,585"
Melrose,Residential,2017,"1,105,448","937,662","952,005","569,334","297,126","170,351","124,948","126,960","134,265","245,247","672,366","1,340,826","6,676,538"
Canton,Commercial & Industrial,2014,"1,105,755","318,438","455,283","515,198","277,872","193,789","176,276","175,498","202,504","329,061","592,966","823,333","5,165,973"
Westborough,Commercial & Industrial,2014,"1,106,511","1,024,547","924,666","583,120","425,302","246,154","235,479","250,353","268,184","422,371","666,130","945,134","7,097,950"
Somerset,Total,2017,"1,106,818","867,818","1,035,225","542,895","307,855","219,659","190,693","144,207","150,852","203,953","537,999","1,142,161","6,450,136"
North Andover,Commercial & Industrial,2016,"1,106,883","811,825","647,808","528,720","315,867","122,455","108,731","109,952","133,758","328,144","729,996","1,133,885","6,078,022"
Wareham,Total,2016,"1,108,355","1,133,623","956,794","670,146","412,084","269,121","256,926","249,612","265,915","474,231","745,889","1,139,256","7,681,953"
Franklin,Residential,2016,"1,109,989","1,032,557","753,285","545,923","297,959","154,982","132,068","125,170","145,949","665,186","1,246,659","2,159,157","8,368,884"
Saugus,Residential,2015,"1,111,746","1,123,115","909,703","446,143","191,052","151,053","119,544","109,816","115,478","293,831","434,873","584,192","5,590,547"
Westborough,Commercial & Industrial,2015,"1,111,828","1,090,124","930,452","598,913","323,923","264,441","245,078","221,668","244,839","393,453","518,955","972,529","6,916,202"
Stoughton,Residential,2018,"1,112,241","764,306","803,754","520,230","239,869","132,914","108,457","105,383","121,604","343,463","720,282","897,401","5,869,904"
Weymouth,Commercial & Industrial,2015,"1,112,897","1,126,523","1,011,731","624,884","392,768","301,351","276,011","261,326","288,808","449,721","640,429","768,720","7,255,170"
Berlin,Commercial & Industrial,2013,"1,114",758,654,482,225,101,117,110,126,224,420,"2,144","6,476"
Fitchburg,Residential,2014,"1,114,839","1,022,257","950,815","527,272","288,070","168,421","147,663","149,649","189,830","365,481","742,908","958,088","6,625,292"
