ACO_ID,ACO_Name,ACO_State,Agree_Type,Agreement_Period_Num,Initial_Start_Date,Current_Start_Date,Current_Track_1,Current_Track_2,Current_Track_3,Current_Track_1_Plus,Current_BASIC_A,Current_BASIC_B,Current_BASIC_C,Current_BASIC_D,Current_BASIC_E,Current_ENHANCED,Risk_Model,Adv_Pay,AIM,SNF_Waiver,N_AB,Sav_rate,MinSavPerc,BnchmkMinExp,GenSaveLoss,DisAdj,EarnSaveLoss,DisAffQual,Met_QPS,QualScore,RecvdMean,RegTrndUpdt,PosRegAdj,UpdatedBnchmk,HistBnchmk,ABtotBnchmk,ABtotExp,Adv_Pay_Amt,Adv_Pay_Recoup,QualPerfShare,FinalShareRate,RevLossLimit,Rev_Exp_Cat,Per_Capita_Exp_ALL_ESRD_BY1,Per_Capita_Exp_ALL_DIS_BY1,Per_Capita_Exp_ALL_AGDU_BY1,Per_Capita_Exp_ALL_AGND_BY1,Per_Capita_Exp_ALL_ESRD_BY2,Per_Capita_Exp_ALL_DIS_BY2,Per_Capita_Exp_ALL_AGDU_BY2,Per_Capita_Exp_ALL_AGND_BY2,Per_Capita_Exp_ALL_ESRD_BY3,Per_Capita_Exp_ALL_DIS_BY3,Per_Capita_Exp_ALL_AGDU_BY3,Per_Capita_Exp_ALL_AGND_BY3,Per_Capita_Exp_ALL_ESRD_PY,Per_Capita_Exp_ALL_DIS_PY,Per_Capita_Exp_ALL_AGDU_PY,Per_Capita_Exp_ALL_AGND_PY,Per_Capita_Exp_TOTAL_PY,CMS_HCC_RiskScore_ESRD_BY1,CMS_HCC_RiskScore_DIS_BY1,CMS_HCC_RiskScore_AGDU_BY1,CMS_HCC_RiskScore_AGND_BY1,CMS_HCC_RiskScore_ESRD_BY2,CMS_HCC_RiskScore_DIS_BY2,CMS_HCC_RiskScore_AGDU_BY2,CMS_HCC_RiskScore_AGND_BY2,CMS_HCC_RiskScore_ESRD_BY3,CMS_HCC_RiskScore_DIS_BY3,CMS_HCC_RiskScore_AGDU_BY3,CMS_HCC_RiskScore_AGND_BY3,CMS_HCC_RiskScore_ESRD_PY,CMS_HCC_RiskScore_DIS_PY,CMS_HCC_RiskScore_AGDU_PY,CMS_HCC_RiskScore_AGND_PY,N_AB_Year_ESRD_BY3,N_AB_Year_DIS_BY3,N_AB_Year_AGED_Dual_BY3,N_AB_Year_AGED_NonDual_BY3,N_AB_Year_PY,N_AB_Year_ESRD_PY,N_AB_Year_DIS_PY,N_AB_Year_AGED_Dual_PY,N_AB_Year_AGED_NonDual_PY,N_Ben_Age_0_64,N_Ben_Age_65_74,N_Ben_Age_75_84,N_Ben_Age_85plus,N_Ben_Female,N_Ben_Male,N_Ben_Race_White,N_Ben_Race_Black,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Native,N_Ben_Race_Other,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_OPD,CapAnn_PB,CapAnn_AmbPay,CapAnn_HHA,CapAnn_DME,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,ADM_Psych,chf_adm,copd_adm,prov_Rate_1000,P_EDV_Vis,P_EDV_Vis_HOSP,P_CT_VIS,P_MRI_VIS,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,P_Nurse_Vis,P_FQHC_RHC_Vis,P_SNF_ADM,N_CAH,N_FQHC,N_RHC,N_ETA,N_Hosp,N_Fac_Other,N_PCP,N_Spec,N_NP,N_PA,N_CNS,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,ACO13,ACO14,ACO17,ACO18,ACO19,ACO20,ACO42,ACO40,ACO27,ACO28
A1052,"Quality Independent Physicians, LLC","KY, IN",Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,1,0,1,6885,0.0369,0.005,2409334,2409334,"",1189609,1,1,98.75,0,0,1,9738,10241,65284971,62875637,0,0,0.5,0.49,1,"Low Revenue",78883,7736,13343,8961,81242,7545,13782,9285,81614,8059,13988,9203,67864,6787,14207,8998,9379,1.054,0.904,0.957,1.058,1.007,0.878,0.901,1.066,1.013,0.875,0.879,1.055,0.983,0.842,0.917,1.048,60,1198,768,6010,6704,26,934,589,5154,988,3010,2021,866,3644,3241,6150,519,18,12,3,183,2493,2201,30,212,51,275,805,2085,2875,148,582,408,251,234,1,10,6,14,5,801,589,166,696,202,10578,4428,3431,1660,1060,64,0,0,1,0,0,0,35,1,28,6,0,^,^,^,^,^,^,^,^,^,^,~,~,1.01,91.28,94,93.1,73.33,87.37,82.35,90.34,2.63,9.52,75.81
A1058,"Physicians Healthcare Collaborative, LLC",NC,Renewal,3,1/1/2013,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,12305,0.079,0.0286,8665726,8665726,"",3401297,1,1,98.13,0,0,1,9117,9258,109660130,100994404,"","",0.4,0.39,0,"Low Revenue",71820,8408,14957,8068,70697,9254,14353,8207,74352,10045,13595,8245,63760,8852,13101,8002,8397,1.002,0.929,0.945,0.865,0.959,0.913,0.98,0.891,0.932,1.005,0.995,0.924,0.972,0.999,1.028,0.946,65,1010,239,11246,12028,57,742,185,11043,1196,6818,3419,872,6701,5604,10659,1228,42,18,13,345,2112,1977,6,111,29,106,279,1775,3600,84,307,301,175,167,0,5,3,8,3,772,378,119,632,229,9676,3125,3644,2889,18,27,0,0,0,0,1,0,56,99,60,51,0,^,^,^,^,^,^,^,^,^,^,~,~,0.92,97.79,98.11,86,86.05,89.74,92.79,93.53,25,10.98,77.91
A1059,"Optimus Healthcare Partners, LLC",NJ,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,14563,0.0706,0.0273,10885348,10885348,"",4217740,1,1,96.87,1,0,1,10944,12162,154094125,143208777,"","",0.4,0.39,0,"High Revenue",100178,12055,14341,9873,104705,11071,14311,10035,112860,12261,15968,10620,100745,10508,12766,9176,10171,1.071,1.037,0.981,1.035,1.048,0.987,0.985,1.022,1.039,0.972,0.991,1.025,1.076,0.963,0.94,0.996,102,1597,1880,12029,14080,74,1253,1542,11210,1696,6503,4347,2017,8758,5805,10221,1838,839,632,6,1027,2635,2373,71,163,56,181,1115,1809,4078,104,347,183,232,218,1,8,5,13,4,808,427,190,542,209,12136,5967,5265,898,6,61,0,0,0,0,5,6,118,67,66,11,0,^,^,^,^,^,^,^,^,^,^,~,~,0.84,56.25,76.66,55.56,43.74,62.64,62.68,75.49,10.64,17.91,70.75
A1061,"Ascension Care Management Health Partners Tennessee",TN,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,34019,0.0302,0,9901310,9901310,"",7333158,1,1,98.75,0,0,1,9839,10382,327822052,317920742,"","",0.75,0.74,0,"High Revenue",79492,9675,18695,8672,78440,10186,17314,9035,78755,10347,17336,9498,79827,9599,19106,8709,9542,0.955,1.057,1.1,0.976,0.994,1.042,1.044,1.008,1.019,1.068,1.046,1.009,0.991,1.006,1.013,0.971,185,2396,1076,27520,33318,214,2149,1020,29935,2365,17632,10270,3752,19585,14434,29822,2977,175,64,15,966,2595,2277,23,231,77,275,708,1666,3531,118,554,282,271,251,1,12,7,16,4,750,519,192,666,208,9244,3251,3841,1897,255,52,2,0,1,0,8,13,468,686,510,146,1,^,^,^,^,^,^,^,^,^,^,~,~,1.28,91.53,79.15,70.59,50.41,77.91,77.1,84.28,5.48,9.68,73.05
A1063,"Summa Accountable Care Organization",OH,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,18447,0.0692,0,11669612,11669612,"",5652023,1,1,96.87,1,0,1,9437,9822,168750172,157080560,"","",0.5,0.48,1,"High Revenue",73968,8747,13776,8243,74063,8360,14130,8639,72662,8425,15138,8737,75605,8079,12457,8042,8784,1.018,1.02,1.013,1.007,0.985,0.981,0.994,0.984,0.982,0.961,1.026,0.986,0.999,0.931,1.035,0.997,171,2565,712,14383,17883,149,2059,711,14964,2818,9466,4365,1798,10075,8372,16474,1213,96,21,3,640,2692,2203,112,362,37,188,412,2283,2541,103,417,230,280,251,4,20,5,17,8,781,656,201,639,142,8690,3566,3396,1721,8,39,0,0,0,0,3,2,240,406,210,83,13,^,^,^,^,^,^,^,^,^,^,~,~,0.89,91.74,71.47,74.07,77.39,70.12,72.78,82.38,13.16,11.29,73.45
A1066,"Essentia Health","MN, WI, ND",Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,26942,0.0489,0.01,14338616,14338616,"",10619537,1,1,98.75,0,0,1,11163,11674,292994299,278655683,"","",0.75,0.74,0,"High Revenue",81000,9722,14624,9555,80821,10100,15053,9736,90525,10994,16042,10089,84567,10815,17328,9208,10617,1.056,0.967,1.029,1.021,1.066,1.03,1.092,1.065,1.055,1.04,1.112,1.068,1.08,1.025,1.11,1.04,199,5965,1734,19005,26246,198,5155,1700,19194,5432,10694,7101,3715,14703,12239,25621,152,63,42,505,559,3104,2913,7,120,75,404,840,4055,1854,141,242,304,262,251,0,5,6,12,2,801,773,125,676,191,7573,1980,2197,2098,1298,60,17,0,20,0,14,27,690,1504,592,336,13,^,^,^,^,^,^,^,^,^,^,~,~,1.04,94.41,72.95,92.05,94.89,86.22,81.88,87.08,18.78,14.81,83.75
A1070,"Allcare Options, LLC",FL,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,10347,0.2981,0.0298,56620645,56620645,"",18993856,1,1,96.87,1,0,0,19098,26460,189938560,133317915,"","",0.4,0.39,0,"Low Revenue",115955,18709,27497,23977,121312,18763,28795,25231,117453,17851,27726,25320,81948,9806,16057,11806,13405,1.147,1.324,1.291,1.361,1.15,1.265,1.201,1.347,1.17,1.229,1.217,1.343,1.032,0.917,0.901,1.015,343,2944,5233,7142,9945,189,2129,1628,5999,2710,4140,2434,1063,5717,4630,7869,1378,103,655,16,326,3848,3286,141,339,125,209,1578,2787,4225,151,664,306,377,339,4,17,17,21,8,778,832,290,835,219,11761,1264,4382,1472,4643,95,0,80,0,0,0,0,128,88,180,22,1,^,^,^,^,^,^,^,^,^,^,~,~,1.18,81.51,63.45,90.91,70.1,63.55,68.55,80.62,28.75,21.52,70.05
A1080,"Central Maine ACO",ME,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,1,0,0,0,0,One-Sided,0,0,0,8313,0.0237,0.0317,1966861,0,"",0,1,1,96.87,1,0,1,10272,10319,83072293,81105432,"","",0.4,0.39,0,"High Revenue",69483,8021,12025,8565,72502,8689,13189,8969,70959,8666,13195,8856,72203,9178,12968,8709,10029,0.972,0.832,0.849,0.96,0.973,0.826,0.847,0.97,0.985,0.833,0.876,0.969,1.001,0.827,0.908,0.993,84,2513,1645,6637,8087,73,1731,1231,5053,1934,2865,2286,1228,4643,3670,8036,38,22,16,6,195,2691,2452,11,198,43,498,712,3482,1979,116,523,275,243,229,0,9,5,12,5,807,822,164,598,171,7447,2846,2359,1376,866,46,4,3,2,0,3,6,370,554,280,113,0,^,^,^,^,^,^,^,^,^,^,~,~,0.87,73.91,64.73,96.77,84.06,63.41,67.11,88.62,6.72,18.55,79.13
A1083,"Accountable Care Coalition of Southeast Wisconsin, LLC",WI,Renewal,3,4/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,8904,0.0095,0,991021,991021,"",479988,1,1,96.87,1,0,1,12278,12516,104296131,103305110,"","",0.5,0.48,1,"Low Revenue",73770,9571,13248,8277,80089,10188,13420,8747,81299,10294,14212,9018,79742,9848,14527,8851,12161,1.02,0.996,0.995,1.046,1.005,1.025,0.94,1.031,0.999,1.047,0.972,1.036,1.014,1.037,0.985,1.06,264,2347,1897,4762,8494,224,2016,1802,4452,2486,3544,1855,1019,4904,4000,5606,1946,487,445,20,400,3794,3421,115,217,70,541,1048,3104,3234,202,334,295,372,349,3,9,11,21,7,772,928,302,655,184,10705,4675,2915,2112,1003,77,0,15,0,0,0,0,132,56,120,28,0,^,^,^,^,^,^,^,^,^,^,~,~,0.98,76.33,75.93,77.27,76.74,63.53,60.07,83.91,14.55,23.27,62.52
A1095,"Beaumont ACO",MI,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,0,1,Two-Sided,0,0,1,25365,0.0462,0.015,11742388,11742388,"",8530907,1,1,96.87,1,0,1,10356,11550,254344375,242601986,"","",0.75,0.73,0,"Low Revenue",77993,10772,16411,10551,79293,10660,16514,10626,87561,10363,14522,10248,70448,9289,12396,9031,9877,1.043,1.068,1.047,1.162,1.046,1.065,1.07,1.159,1.051,1.019,0.994,1.104,0.983,1.003,0.95,1.055,208,5093,2176,19283,24561,209,4098,2051,18202,5193,11293,6089,2790,15571,9794,20099,3618,485,116,16,1031,3199,2810,78,287,59,101,499,2222,3245,95,471,289,332,309,3,15,6,20,10,778,625,271,683,193,9393,4319,4275,794,5,49,0,0,0,0,0,0,428,242,100,30,1,^,^,^,^,^,^,^,^,^,^,~,~,1.01,99.6,80.56,100,92.31,74.06,77.42,77.41,9.46,13.71,78.38
A1131,"Florida Medical Clinic ACO, LLC",FL,Renewal,3,7/1/2012,7/1/2019,0,0,0,0,0,0,0,0,1,0,Two-Sided,0,0,1,15606,0.0008,0.02,135180,0,"",0,1,1,97.5,0,0,1,10745,11102,164097674,163962495,"","",0.5,0.49,1,"Low Revenue",65647,9801,15335,9715,72737,10300,15830,9775,74523,10544,16636,10136,78146,9815,18160,9974,10736,0.98,1.008,1.118,1.077,1.005,1,1.12,1.084,0.997,1.012,1.101,1.075,1.002,1.047,1.194,1.141,116,1268,403,13907,15273,127,1017,386,13743,1464,7814,4705,1623,9008,6598,14045,665,154,241,9,492,2710,2407,118,199,18,196,366,1818,4890,71,530,382,254,239,3,10,2,16,4,851,501,192,709,285,12677,3698,6055,2910,15,33,0,0,0,0,0,1,91,174,153,62,0,^,^,^,^,^,^,^,^,^,^,~,~,0.96,91.25,84.83,95,69.37,83.09,79.85,85.85,15.13,7.78,74.01
