Month End,Year Week,Current (Arrival) Region,Current (Arrival) District,Previous (Departure) Region,Previous (Departure) District,Reason,Current (Arrival) Priority Need,Number of Individuals
31/05/2016,201620,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,11
31/05/2016,201621,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
31/10/2016,201640,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,7
31/10/2016,201641,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
31/10/2016,201643,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,4
30/09/2016,201636,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,5
30/09/2016,201637,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,6
30/09/2016,201638,Awdal,Borama,Banadir,Banadir,Drought related,Livelihood Support,18
30/04/2016,201614,Awdal,Borama,Banadir,Banadir,Drought related,Shelter,6
30/09/2016,201639,Awdal,Borama,Banadir,Banadir,Drought related,Transport,6
31/05/2016,201619,Awdal,Borama,Bari,Bossaso,Drought related,Livelihood Support,8
30/09/2016,201637,Awdal,Borama,Bari,Bossaso,Drought related,Livelihood Support,5
30/04/2016,201614,Awdal,Borama,Bay,Baidoa,Drought related,Livelihood Support,7
31/01/2016,201603,Awdal,Borama,Bay,Baidoa,Drought related,Livelihood Support,6
31/05/2016,201618,Awdal,Borama,Bay,Baidoa,Drought related,Livelihood Support,6
31/01/2016,201602,Awdal,Borama,Bay,Diinsoor,Drought related,Food,7
30/09/2016,201637,Awdal,Borama,Galgaduud,Cabudwaaq,Conflict/Insecurity,Livelihood Support,7
31/10/2016,201640,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Food,9
31/08/2016,201631,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Health,4
31/01/2016,201602,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,6
31/07/2016,201628,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,7
30/06/2016,201622,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,8
31/05/2016,201621,Awdal,Borama,Galgaduud,Cabudwaaq,Drought related,Livelihood Support,6
30/04/2016,201614,Awdal,Borama,Galgaduud,Cadaado,Drought related,Food,7
31/05/2016,201618,Awdal,Borama,Galgaduud,Cadaado,Drought related,Food,8
31/01/2016,201601,Awdal,Borama,Galgaduud,Cadaado,Drought related,Livelihood Support,8
29/02/2016,201606,Awdal,Borama,Galgaduud,Ceel Buur,Drought related,Livelihood Support,5
30/04/2016,201613,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,5
30/04/2016,201615,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,5
31/07/2016,201629,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,7
31/07/2016,201630,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,6
30/06/2016,201622,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,6
31/05/2016,201618,Awdal,Borama,Galgaduud,Dhuusamarreeb,Drought related,Livelihood Support,6
31/08/2016,201634,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,7
31/12/2016,201649,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,7
31/01/2016,201604,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,6
31/07/2016,201628,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,6
31/07/2016,201629,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,6
31/07/2016,201630,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8
30/06/2016,201625,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8
31/05/2016,201618,Awdal,Borama,Hiraan,Belet Weyne,Drought related,Livelihood Support,8
30/04/2016,201617,Awdal,Borama,Hiraan,Belet Weyne,Other,Livelihood Support,6
30/04/2016,201617,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Livelihood Support,6
31/12/2016,201650,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Livelihood Support,6
31/07/2016,201627,Awdal,Borama,Hiraan,Bulo Burto,Drought related,Transport,7
31/01/2016,201602,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Health,8
31/07/2016,201628,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Livelihood Support,8
30/06/2016,201624,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Livelihood Support,4
31/03/2016,201611,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Livelihood Support,7
30/04/2016,201617,Awdal,Borama,Hiraan,Jalalaqsi,Drought related,Transport,6
30/09/2016,201638,Awdal,Borama,Lower Juba,Kismayo,Drought related,Livelihood Support,9
30/11/2016,201644,Awdal,Borama,Lower Shabelle,Afgooye,Drought related,Livelihood Support,7
29/02/2016,201608,Awdal,Borama,Lower Shabelle,Marka,Drought related,Livelihood Support,7
31/07/2016,201628,Awdal,Borama,Lower Shabelle,Qoryooley,Drought related,Livelihood Support,5
31/07/2016,201630,Awdal,Borama,Lower Shabelle,Qoryooley,Drought related,Livelihood Support,6
30/04/2016,201615,Awdal,Borama,Middle Juba,Bu'aale,Drought related,Food,7
31/01/2016,201604,Awdal,Borama,Middle Juba,Jilib,Drought related,Food,9
31/07/2016,201629,Awdal,Borama,Middle Shabelle,Jowhar,Drought related,Livelihood Support,6
31/07/2016,201628,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Food,7
31/10/2016,201639,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Food,8
31/08/2016,201631,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,7
31/12/2016,201650,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,6
29/02/2016,201605,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,5
29/02/2016,201608,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,7
31/07/2016,201627,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,5
31/03/2016,201611,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,4
30/11/2016,201645,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,7
31/10/2016,201639,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,8
31/10/2016,201640,Awdal,Borama,Mudug,Gaalkacyo,Drought related,Livelihood Support,7
31/07/2016,201629,Awdal,Borama,Mudug,Xarardheere,Drought related,Livelihood Support,7
30/09/2016,201639,Awdal,Borama,Mudug,Xarardheere,Drought related,Livelihood Support,5
30/09/2016,201638,Awdal,Borama,Nugaal,Burtinle,Drought related,Food,7
29/02/2016,201605,Awdal,Borama,Nugaal,Burtinle,Drought related,Livelihood Support,5
31/01/2016,201601,Awdal,Borama,Nugaal,Burtinle,Drought related,Livelihood Support,6
30/06/2016,201623,Awdal,Borama,Nugaal,Burtinle,Drought related,Livelihood Support,4
31/05/2016,201617,Awdal,Borama,Nugaal,Burtinle,Drought related,Livelihood Support,8
30/04/2016,201615,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,5
31/08/2016,201632,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,7
31/08/2016,201633,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,7
29/02/2016,201606,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,13
31/07/2016,201627,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,6
31/07/2016,201628,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,9
31/07/2016,201629,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,4
30/06/2016,201624,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,6
31/05/2016,201621,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,8
30/09/2016,201637,Awdal,Borama,Nugaal,Garoowe,Drought related,Livelihood Support,7
30/11/2016,201646,Awdal,Borama,Sanaag,Ceerigaabo,Drought related,Food,7
31/12/2016,201652,Awdal,Borama,Togdheer,Burco,Drought related,Food,6
31/12/2016,201651,Awdal,Borama,Togdheer,Burco,Drought related,Livelihood Support,7
31/12/2016,201648,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,7
31/12/2016,201649,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,6
31/12/2016,201650,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,167
31/12/2016,201651,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,7
31/12/2016,201652,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,110
30/11/2016,201646,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,258
30/11/2016,201647,Awdal,Borama,Togdheer,Owdweyne,Drought related,Food,45
31/12/2016,201651,Awdal,Borama,Togdheer,Owdweyne,Drought related,Health,7
31/12/2016,201651,Awdal,Borama,Togdheer,Owdweyne,Drought related,Livelihood Support,7
31/12/2016,201652,Awdal,Borama,Togdheer,Owdweyne,Drought related,Livelihood Support,8
30/11/2016,201646,Awdal,Borama,Togdheer,Owdweyne,Drought related,Livelihood Support,120
31/12/2016,201650,Awdal,Borama,Togdheer,Owdweyne,Drought related,Transport,7
31/12/2016,201648,Awdal,Borama,Togdheer,Owdweyne,Drought related,Water,7
31/12/2016,201650,Awdal,Borama,Togdheer,Owdweyne,Drought related,Water,7
30/11/2016,201646,Awdal,Borama,Togdheer,Owdweyne,Drought related,Water,8
30/11/2016,201647,Awdal,Borama,Togdheer,Owdweyne,Drought related,Water,6
30/04/2016,201614,Awdal,Lughaye,Awdal,Lughaye,Drought related,Food,19
30/04/2016,201616,Awdal,Lughaye,Awdal,Lughaye,Drought related,Livelihood Support,6
30/04/2016,201616,Awdal,Lughaye,Awdal,Lughaye,Drought related,Water,7
30/04/2016,201614,Bakool,Ceel Barde,Bakool,Ceel Barde,Conflict/Insecurity,Food,330
31/03/2016,201610,Bakool,Ceel Barde,Bakool,Ceel Barde,Drought related,Food,8
31/03/2016,201611,Bakool,Ceel Barde,Bakool,Ceel Barde,Drought related,Food,220
31/03/2016,201611,Bakool,Ceel Barde,Bakool,Ceel Barde,Drought related,Water,550
31/05/2016,201618,Bakool,Ceel Barde,Bakool,Ceel Barde,Flood,Food,150
30/04/2016,201616,Bakool,Ceel Barde,Bakool,Xudur,Drought related,Food,230
31/05/2016,201619,Bakool,Ceel Barde,Bakool,Xudur,Drought related,Food,120
30/06/2016,201625,Bakool,Rab Dhuure,Bakool,Ceel Barde,Drought related,Food,20
30/06/2016,201625,Bakool,Rab Dhuure,Bakool,Ceel Barde,Drought related,Livelihood Support,5
30/06/2016,201625,Bakool,Rab Dhuure,Bakool,Ceel Barde,Drought related,Water,13
31/03/2016,201611,Bakool,Rab Dhuure,Bakool,Ceel Barde,Drought related,Water,367
31/07/2016,201627,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Conflict/Insecurity,Food,100
31/07/2016,201628,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Conflict/Insecurity,Food,200
31/07/2016,201628,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Conflict/Insecurity,Other,200
30/04/2016,201616,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,6
31/12/2016,201649,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,24
31/12/2016,201650,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,22
31/12/2016,201651,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,12
29/02/2016,201607,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,6
31/07/2016,201626,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,19
31/03/2016,201609,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,11
31/03/2016,201612,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,23
30/11/2016,201647,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,19
30/09/2016,201638,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Food,9
31/03/2016,201612,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Livelihood Support,5
29/02/2016,201607,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Shelter,11
30/04/2016,201616,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,33
31/07/2016,201626,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,7
30/06/2016,201626,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,250
31/03/2016,201609,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,6
31/03/2016,201612,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,117
31/03/2016,201613,Bakool,Rab Dhuure,Bakool,Rab Dhuure,Drought related,Water,100
31/07/2016,201629,Bakool,Rab Dhuure,Bakool,Tayeeglow,Conflict/Insecurity,Other,6
31/08/2016,201632,Bakool,Rab Dhuure,Bakool,Waajid,Drought related,Food,200
31/08/2016,201633,Bakool,Rab Dhuure,Bakool,Waajid,Drought related,Food,5
31/08/2016,201633,Bakool,Rab Dhuure,Bakool,Waajid,Drought related,Water,7
30/09/2016,201636,Bakool,Rab Dhuure,Gedo,Doolow,Drought related,Food,10
31/03/2016,201609,Bakool,Rab Dhuure,Gedo,Luuq,Drought related,Food,33
31/07/2016,201629,Bakool,Tayeeglow,Bakool,Rab Dhuure,Conflict/Insecurity,Food,7
31/10/2016,201642,Bakool,Tayeeglow,Bakool,Rab Dhuure,Other,Livelihood Support,7
29/02/2016,201605,Bakool,Tayeeglow,Bakool,Tayeeglow,Conflict/Insecurity,Food,7
30/06/2016,201623,Bakool,Tayeeglow,Bakool,Tayeeglow,Conflict/Insecurity,Food,300
31/10/2016,201643,Bakool,Tayeeglow,Bakool,Tayeeglow,Conflict/Insecurity,Food,100
31/10/2016,201643,Bakool,Tayeeglow,Bakool,Tayeeglow,Conflict/Insecurity,Other,200
29/02/2016,201605,Bakool,Tayeeglow,Bakool,Tayeeglow,Conflict/Insecurity,Shelter,12
31/12/2016,201648,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,19
31/12/2016,201649,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,69
31/12/2016,201650,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,62
31/12/2016,201651,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,23
31/12/2016,201652,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,12
31/07/2016,201628,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,37
31/03/2016,201613,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,11
30/11/2016,201646,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,9
30/11/2016,201648,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,20
30/09/2016,201638,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Food,17
31/03/2016,201613,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Health,6
31/07/2016,201628,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Livelihood Support,12
31/10/2016,201641,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Other,4
31/08/2016,201632,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Water,7
31/07/2016,201628,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Water,13
31/03/2016,201613,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Water,18
31/10/2016,201641,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Water,5
30/09/2016,201638,Bakool,Tayeeglow,Bakool,Tayeeglow,Drought related,Water,6
31/05/2016,201619,Bakool,Tayeeglow,Bakool,Tayeeglow,Other,Food,200
31/08/2016,201632,Bakool,Tayeeglow,Bakool,Xudur,Conflict/Insecurity,Food,25
31/05/2016,201619,Bakool,Tayeeglow,Bakool,Xudur,Conflict/Insecurity,Other,6
31/05/2016,201619,Bakool,Tayeeglow,Bakool,Xudur,Conflict/Insecurity,Shelter,6
31/08/2016,201632,Bakool,Tayeeglow,Bakool,Xudur,Conflict/Insecurity,Water,100
31/12/2016,201650,Bakool,Tayeeglow,Bakool,Xudur,Drought related,Food,13
30/11/2016,201646,Bakool,Tayeeglow,Bakool,Xudur,Drought related,Food,215
30/06/2016,201623,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Food,22
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Food,18
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Health,5
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Livelihood Support,6
30/06/2016,201623,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Other,6
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Other,12
30/06/2016,201623,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Shelter,8
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Shelter,12
30/06/2016,201623,Bakool,Tayeeglow,Hiraan,Belet Weyne,Drought related,Water,6
31/05/2016,201621,Bakool,Tayeeglow,Hiraan,Belet Weyne,Flood,Food,183
31/07/2016,201629,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Food,12
31/07/2016,201629,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Other,8
31/07/2016,201629,Bakool,Tayeeglow,Hiraan,Bulo Burto,Conflict/Insecurity,Transport,7
30/04/2016,201615,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Food,7
30/04/2016,201615,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Livelihood Support,5
30/06/2016,201624,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Other,6
30/04/2016,201615,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Shelter,11
30/04/2016,201615,Bakool,Tayeeglow,Hiraan,Bulo Burto,Drought related,Water,14
30/09/2016,201636,Bakool,Waajid,Bakool,Rab Dhuure,Drought related,Food,14
30/09/2016,201636,Bakool,Waajid,Bakool,Rab Dhuure,Drought related,Health,4
31/12/2016,201648,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Food,139
31/05/2016,201619,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Food,7
31/05/2016,201620,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Food,23
30/09/2016,201639,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Food,15
31/05/2016,201620,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Livelihood Support,5
31/12/2016,201648,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Shelter,106
31/05/2016,201619,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Shelter,108
31/05/2016,201620,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Shelter,14
30/09/2016,201639,Bakool,Waajid,Bakool,Waajid,Conflict/Insecurity,Water,6
30/04/2016,201615,Bakool,Waajid,Bakool,Waajid,Drought related,Food,7
30/04/2016,201616,Bakool,Waajid,Bakool,Waajid,Drought related,Food,17
31/12/2016,201649,Bakool,Waajid,Bakool,Waajid,Drought related,Food,45
31/12/2016,201650,Bakool,Waajid,Bakool,Waajid,Drought related,Food,57
31/12/2016,201651,Bakool,Waajid,Bakool,Waajid,Drought related,Food,12
31/12/2016,201652,Bakool,Waajid,Bakool,Waajid,Drought related,Food,34
31/07/2016,201628,Bakool,Waajid,Bakool,Waajid,Drought related,Food,16
30/06/2016,201624,Bakool,Waajid,Bakool,Waajid,Drought related,Food,23
30/11/2016,201646,Bakool,Waajid,Bakool,Waajid,Drought related,Food,8
29/02/2016,201607,Bakool,Waajid,Bakool,Waajid,Drought related,Livelihood Support,100
31/07/2016,201628,Bakool,Waajid,Bakool,Waajid,Drought related,Livelihood Support,5
31/03/2016,201613,Bakool,Waajid,Bakool,Waajid,Drought related,Livelihood Support,6
30/04/2016,201615,Bakool,Waajid,Bakool,Waajid,Drought related,Shelter,6
30/06/2016,201624,Bakool,Waajid,Bakool,Waajid,Drought related,Shelter,17
30/04/2016,201615,Bakool,Waajid,Bakool,Waajid,Drought related,Water,11
30/04/2016,201616,Bakool,Waajid,Bakool,Waajid,Drought related,Water,8
31/08/2016,201632,Bakool,Waajid,Bakool,Waajid,Drought related,Water,13
31/07/2016,201628,Bakool,Waajid,Bakool,Waajid,Drought related,Water,13
31/03/2016,201609,Bakool,Waajid,Gedo,Doolow,Other,Food,6
31/03/2016,201609,Bakool,Waajid,Gedo,Doolow,Other,Water,7
30/04/2016,201615,Bakool,Xudur,Bakool,Ceel Barde,Conflict/Insecurity,Food,230
31/07/2016,201626,Bakool,Xudur,Bakool,Rab Dhuure,Conflict/Insecurity,Food,312
31/12/2016,201650,Bakool,Xudur,Bakool,Rab Dhuure,Drought related,Food,11
31/03/2016,201610,Bakool,Xudur,Bakool,Xudur,Conflict/Insecurity,Food,11
30/04/2016,201616,Bakool,Xudur,Bakool,Xudur,Conflict/Insecurity,Health,6
31/10/2016,201642,Bakool,Xudur,Bakool,Xudur,Conflict/Insecurity,Livelihood Support,6
31/05/2016,201619,Bakool,Xudur,Bakool,Xudur,Conflict/Insecurity,Other,100
31/12/2016,201648,Bakool,Xudur,Bakool,Xudur,Drought related,Food,10
30/11/2016,201647,Banadir,Banadir,Bakool,Tayeeglow,Conflict/Insecurity,Food,19
30/11/2016,201648,Banadir,Banadir,Bakool,Tayeeglow,Conflict/Insecurity,Food,24
30/11/2016,201647,Banadir,Banadir,Bakool,Tayeeglow,Conflict/Insecurity,Water,12
30/11/2016,201648,Banadir,Banadir,Bakool,Tayeeglow,Conflict/Insecurity,Water,6
31/08/2016,201632,Banadir,Banadir,Bakool,Xudur,Conflict/Insecurity,Food,19
31/12/2016,201648,Banadir,Banadir,Bakool,Xudur,Drought related,Food,150
29/02/2016,201607,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Food,29
31/07/2016,201628,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Food,7
30/06/2016,201623,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Food,46
31/05/2016,201620,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Food,8
31/07/2016,201628,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Other,17
31/05/2016,201621,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Protection,108
31/01/2016,201601,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Shelter,5238
30/06/2016,201623,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Shelter,5
30/06/2016,201623,Banadir,Banadir,Banadir,Banadir,Conflict/Insecurity,Water,5
31/08/2016,201632,Banadir,Banadir,Banadir,Banadir,Drought related,Food,5
31/08/2016,201633,Banadir,Banadir,Banadir,Banadir,Drought related,Food,5
31/08/2016,201635,Banadir,Banadir,Banadir,Banadir,Drought related,Food,5
31/12/2016,201648,Banadir,Banadir,Banadir,Banadir,Drought related,Food,14
