gender,age,grade,q1a,q1b,q2a,q2b,q3a,q1,q2,q3,q4
NA,10,4,A little or none of the time,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Maintained
Boy,9,4,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
NA,9,4,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Maintained,Increased
NA,10,4,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Increased
Boy,9,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Increased
Boy,10,4,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Most or all of the time,Decreased,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,9,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Boy,8,NA,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Decreased,Maintained,Maintained,Decreased
NA,8,3,Sometimes,NA,Most or all of the time,NA,Sometimes,NA,NA,NA,NA
NA,8,3,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Maintained,Decreased,Maintained,Maintained
NA,9,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
NA,8,3,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Decreased
Boy,8,3,A little or none of the time,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Increased,Maintained,Increased,Increased
NA,NA,NA,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,8,3,Sometimes,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Increased,Decreased,Increased,Maintained
NA,9,3,A little or none of the time,Sometimes,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,9,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,8,3,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,A little or none of the time,Decreased,Maintained,Maintained,Maintained
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,7,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Increased
Boy,8,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Decreased,Decreased
NA,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,3,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Increased,Decreased,Maintained,Increased
Boy,8,3,Sometimes,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Maintained,Decreased,Maintained,Decreased
NA,8,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Decreased,Decreased
Boy,10,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Decreased
NA,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Increased
NA,8,3,NA,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,NA,Increased,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,8,3,A little or none of the time,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Increased,Increased,Decreased,Increased
NA,8,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,8,3,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Most or all of the time,Decreased,Decreased,Decreased,Maintained
NA,8,3,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,3,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Decreased,Increased,Decreased,Maintained
NA,8,3,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,8,3,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Decreased,Increased
Boy,9,3,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,Sometimes,A little or none of the time,Most or all of the time,Sometimes,A little or none of the time,Decreased,Decreased,Maintained,Increased
NA,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
NA,8,3,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Maintained,Increased
Boy,8,3,Most or all of the time,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Decreased
NA,7,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Decreased,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,8,3,A little or none of the time,Sometimes,Sometimes,NA,Most or all of the time,Increased,NA,Decreased,Maintained
NA,7,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Increased
Boy,9,3,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,NA
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,NA,Increased,Increased,NA,Maintained
NA,9,3,A little or none of the time,Sometimes,Sometimes,Sometimes,Sometimes,Increased,Maintained,Maintained,Increased
NA,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,8,3,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Maintained
NA,NA,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,9,NA,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,A little or none of the time,Most or all of the time,Sometimes,Most or all of the time,Sometimes,Increased,Increased,Increased,Increased
NA,8,3,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Increased
NA,NA,NA,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Maintained,Maintained
NA,10,5,NA,NA,Sometimes,Sometimes,A little or none of the time,NA,Maintained,Increased,Maintained
NA,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,NA
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
NA,10,5,A little or none of the time,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Increased,Maintained,Maintained,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Increased
Boy,11,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,NA,11,Most or all of the time,Most or all of the time,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,A little or none of the time,NA,Maintained,Decreased,NA,Increased
Boy,11,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Increased
NA,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,10,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Decreased
NA,NA,NA,A little or none of the time,Sometimes,A little or none of the time,Most or all of the time,A little or none of the time,Increased,Increased,Increased,Decreased
Boy,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,10,5,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Sometimes,Increased,Increased,Maintained,Increased
NA,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Decreased
NA,8,3,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
Boy,8,3,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Decreased,Maintained,Maintained,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,NA,A little or none of the time,Maintained,NA,Increased,Increased
NA,9,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
NA,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,9,3,Sometimes,Sometimes,Most or all of the time,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Increased
NA,9,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,8,3,Sometimes,Sometimes,Most or all of the time,Sometimes,A little or none of the time,Maintained,Decreased,Maintained,Decreased
NA,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Increased
Boy,9,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Maintained,Increased
NA,8,3,A little or none of the time,A little or none of the time,A little or none of the time,Sometimes,A little or none of the time,Maintained,Increased,Maintained,Maintained
NA,10,3,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Maintained,Increased
Boy,10,5,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Maintained
NA,10,5,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Sometimes,Decreased,Increased,Decreased,Decreased
NA,9,3,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Maintained
NA,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Maintained,Maintained,Increased,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
NA,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,NA,NA,Most or all of the time,Sometimes,A little or none of the time,Most or all of the time,Sometimes,Decreased,Increased,Maintained,NA
NA,9,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Increased
NA,8,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Decreased
NA,NA,NA,A little or none of the time,Most or all of the time,A little or none of the time,A little or none of the time,A little or none of the time,Increased,Maintained,Maintained,Maintained
NA,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,3,A little or none of the time,Most or all of the time,Most or all of the time,Sometimes,A little or none of the time,Increased,Decreased,Increased,Decreased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
NA,8,3,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,8,3,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,7,3,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,8,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Increased
NA,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,A little or none of the time,Maintained,Increased,Increased,Increased
Boy,8,3,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,11,5,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,10,5,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
Boy,10,5,Sometimes,Most or all of the time,A little or none of the time,Sometimes,A little or none of the time,Increased,Increased,Increased,Maintained
NA,10,5,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,5,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Maintained
Boy,18,12,A little or none of the time,Most or all of the time,A little or none of the time,Sometimes,Most or all of the time,Increased,Increased,Maintained,Maintained
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Increased
NA,11,5,Most or all of the time,NA,Sometimes,A little or none of the time,Most or all of the time,NA,Decreased,Maintained,Decreased
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,10,5,Most or all of the time,Most or all of the time,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,Sometimes,NA,Maintained,Maintained,NA,Maintained
NA,10,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
NA,10,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Sometimes,Maintained,Increased,Increased,Increased
Boy,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,11,5,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Sometimes,Decreased,Increased,Increased,Decreased
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,10,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
NA,10,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,9,4,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Increased,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
NA,10,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Increased
Boy,10,4,Sometimes,Most or all of the time,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Increased,Increased
Boy,10,4,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,4,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Maintained
Boy,9,4,Sometimes,Most or all of the time,NA,Most or all of the time,Sometimes,Increased,NA,Increased,Increased
NA,9,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
NA,9,4,A little or none of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Increased,Increased,Maintained,Increased
NA,9,4,Most or all of the time,Most or all of the time,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Increased,Maintained
Boy,9,4,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
NA,9,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,10,4,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Maintained
Boy,11,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Increased
NA,10,5,Sometimes,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Increased,Increased,Maintained,Increased
Boy,8,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,A little or none of the time,Maintained,Maintained,Maintained,Maintained
NA,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,10,4,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
Girl,10,5,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Increased,Maintained,Increased,Increased
Boy,11,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Increased,Maintained
NA,NA,NA,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Increased,Maintained
NA,10,5,Sometimes,Sometimes,Sometimes,Sometimes,A little or none of the time,Maintained,Maintained,Maintained,Maintained
Boy,NA,NA,Sometimes,NA,Most or all of the time,NA,Most or all of the time,NA,NA,NA,NA
NA,NA,NA,A little or none of the time,Sometimes,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Maintained
Boy,10,5,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
NA,NA,NA,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Maintained
Girl,11,5,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Decreased
Girl,11,5,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Maintained,Maintained
NA,11,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Most or all of the time,Maintained,Increased,Maintained,Maintained
Boy,11,5,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Increased
Girl,10,5,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Sometimes,Maintained,Maintained,Increased,Maintained
Boy,10,5,Most or all of the time,Most or all of the time,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Decreased,Maintained
Boy,10,5,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Maintained,Increased
Girl,10,5,A little or none of the time,Sometimes,Sometimes,Sometimes,Sometimes,Increased,Maintained,Increased,Increased
Boy,9,3,NA,Most or all of the time,Most or all of the time,Most or all of the time,Most or all of the time,NA,Maintained,Maintained,Maintained
Boy,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Maintained,Maintained,Maintained,Decreased
NA,9,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Girl,8,3,Sometimes,Sometimes,Sometimes,Most or all of the time,Most or all of the time,Maintained,Increased,Maintained,Maintained
Girl,8,3,Sometimes,Most or all of the time,Sometimes,Sometimes,Most or all of the time,Increased,Maintained,Maintained,Decreased
Girl,8,3,Sometimes,Sometimes,A little or none of the time,Sometimes,Sometimes,Maintained,Increased,Decreased,Maintained
Girl,8,3,Sometimes,A little or none of the time,Sometimes,Sometimes,Most or all of the time,Decreased,Maintained,Maintained,Decreased
Girl,8,3,Sometimes,Sometimes,Most or all of the time,Most or all of the time,NA,Maintained,Maintained,NA,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,Maintained,Decreased,Maintained,Maintained
Boy,8,3,Most or all of the time,Sometimes,A little or none of the time,Sometimes,Sometimes,Decreased,Increased,Increased,Decreased
NA,NA,NA,A little or none of the time,Sometimes,Sometimes,Sometimes,A little or none of the time,Increased,Maintained,Increased,Increased
Girl,9,3,Sometimes,Sometimes,Sometimes,Sometimes,Most or all of the time,Maintained,Maintained,Maintained,Maintained
Boy,9,NA,Most or all of the time,Sometimes,Most or all of the time,NA,Most or all of the time,Decreased,NA,Decreased,Maintained
Girl,8,3,Sometimes,Sometimes,A little or none of the time,A little or none of the time,Most or all of the time,Maintained,Maintained,Decreased,Maintained
Girl,8,3,Most or all of the time,Most or all of the time,A little or none of the time,Most or all of the time,NA,Maintained,Increased,NA,Increased
